school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
19954R,NORTH BAY EDUCATE TOGETHER NS,212,N,53.3853245,-6.1525751,1206,1206,0,-9.654114,-9.654114,0,-9.654114,,,4.354933,-11.359004,,,,,,
19981U,ST MARYS N S,222,Y,53.3641737,-6.2382837,3824,3775,49,19.607761,19.607761,0,19.607761,,15.930511,16.844694,29.932695,10.131651,,,,,
20012S,GRIFFITH BARRACKS MULTI D SCHOOL,309,N,53.3308077,-6.2795513,5235,5073,162,14.865543,15.385697,-0.520153,15.90585,,49.422818,18.313866,16.767876,0.538237,,,-14.537458,,
20015B,GAELSCOIL BHAILE MUNNA,176,Y,53.3982982,-6.256058,810,810,0,4.779309,4.779309,0,4.779309,,,3.961742,6.156114,,,,,,
20035H,ST GABRIELS N S,128,Y,53.3538543,-6.2906696,3089,3089,0,5.444014,5.444014,0,5.444014,,,3.676208,-0.295735,43.039052,,,,,
20047O,GAELSCOIL BHARRA,210,Y,53.3648814,-6.2891756,2227,2227,0,7.654889,7.654889,0,7.654889,,5.62797,0.401256,3.617295,28.665573,,,,,
20048Q,GAELSCOIL LIOS NA NOG,228,N,53.3221546,-6.2567926,1159,1159,0,-4.343889,-4.343889,0,-4.343889,,,-20.214132,2.908414,5.350282,,,,,
20052H,GAELSCOIL CHOLMCILLE,274,N,53.3960102,-6.2305956,2417,2352,65,32.359061,31.73396,0.6251,31.10886,,25.064779,25.832991,38.649853,32.407183,,,8.987567,,33.33088
20059V,MOTHER OF DIVINE GRACE,491,Y,53.3863281,-6.2874542,1352,1352,0,3.207684,3.207684,0,3.207684,,,7.633247,-0.071572,1.775891,,,,,
20064O,OUR LADY OF CONSOLATION NS,287,Y,53.3743785,-6.21686,1003,972,31,30.025107,26.762458,3.262649,23.499809,,-23.031593,37.325487,11.044985,28.481,,,90.919166,,
20091R,ST PETERS NS,469,Y,53.3617557,-6.2765543,5396,5396,0,19.626986,19.626986,0,19.626986,,15.325,16.072846,7.205209,46.004942,,,,,
20092T,ST ULTANS NS,402,Y,53.3367966,-6.3738702,1436,1307,129,1.884723,2.484305,-0.599582,3.083887,,,2.466301,-0.881635,13.084422,,,,-5.264626,
20103V,JOHN SCOTTUS NS,190,N,53.3344211,-6.2373189,2247,2194,53,28.764116,27.009925,1.754191,25.255734,,25.71649,24.542724,20.679851,46.743876,,24.920411,87.629515,,
20104A,ST AUDOENS NS,185,Y,53.3443321,-6.2743708,18365,17784,581,38.324236,37.873738,0.450497,37.423241,49.990324,26.234645,35.568782,39.322904,65.217057,,,5.904489,8.557436,17.941496
20131D,EDUCATE TOGETHER NS,470,N,53.3520302,-6.2782793,1154,1154,0,22.385758,22.385758,0,22.385758,,,24.932353,12.979248,33.180014,,,,,
20139T,INCHICORE NS,208,Y,53.3413932,-6.3200962,3932,3637,295,23.083105,22.897129,0.185975,22.711154,33.500615,47.05539,25.964657,20.066413,13.013,,,-1.279718,6.775144,-1.384333
20152L,NORTH DUBLIN MUSLIM NS PROJECT,316,N,53.3634993,-6.2996924,3338,3338,0,22.645335,22.645335,0,22.645335,,56.681461,29.190453,13.514808,27.821025,,,,,
20168D,GLASNEVIN EDUCATE TOGETHER NS,341,N,53.3787553,-6.269234,2312,2312,0,14.292936,14.292936,0,14.292936,,20.187408,8.727106,0.339189,42.040836,,,,,
20220C,GAELSCOIL UI EARCAIN,344,Y,53.3874063,-6.2899421,650,650,0,6.594817,6.594817,0,6.594817,,,14.099251,-4.5418,6.830714,,,,,
20281W,St Benedicts and St Marys National School,141,Y,53.3884024,-6.1642907,478,478,0,-7.548227,-7.548227,0,-7.548227,,,,-7.059918,-15.934391,,,,,
20304I,St. Francis of Assisi National School,455,N,53.4049148,-6.1699143,593,544,49,2.973837,2.951145,0.022692,2.928453,,,7.386882,-2.849929,-6.575352,,,0.26217,,
20308Q,Belmayne Educate Together National School,437,Y,53.408322,-6.1665024,430,385,45,13.928692,13.325606,0.603085,12.722521,,,9.642045,27.814161,-13.185133,,,5.126227,,
20338C,Holy Child National School,406,N,53.3859343,-6.2451174,1344,1344,0,11.577253,11.577253,0,11.577253,,38.678122,5.610381,2.225014,52.217133,,,,,
20392I,Pelletstown ETNS,260,N,53.3772931,-6.3313729,1495,1495,0,-0.859702,-0.859702,0,-0.859702,,2.923043,11.574,-9.662117,16.438302,,,,,
20429F,ST. JAMES'S PRIMARY SCHOOL,251,Y,53.3403895,-6.2901689,603,577,26,2.630003,3.335561,-0.705557,4.041118,,,1.466845,-1.180053,14.594767,,,-14.9296,,
20430N,Canal Way Educate Together National School,317,N,53.3403638,-6.2894442,2643,2493,150,10.654589,11.529717,-0.875128,12.404845,,,19.64589,0.305196,13.208781,,,-13.800104,,
20436C,St Mary's Primary School,243,Y,53.3548071,-6.2672886,11760,11760,0,17.400367,17.400367,0,17.400367,,63.555831,14.897239,11.371815,30.446394,,,,,
20441S,Shellybanks Educate Together National School,277,N,53.3328982,-6.213878,2533,2533,0,3.401923,3.401923,0,3.401923,,0.807592,2.438458,5.280672,,,,,,
20450T,Assumption Junior School,401,N,53.3228994,-6.3321158,1489,1489,0,13.445804,13.445804,0,13.445804,,65.882125,15.104228,12.070854,12.182043,,,,,
20453C,Broombridge Educate Together National School,119,N,53.3708109,-6.2939088,2213,2213,0,8.984428,8.984428,0,8.984428,,,13.551937,1.293018,22.412273,,,,,
20486R,Grace Park Educate Together National School,182,N,53.3723734,-6.2475481,352,352,0,31.57907,31.57907,0,31.57907,,20.023416,27.591582,27.638647,36.4334,,,,,
20488V,Scoil Úna Naofa,412,Y,53.3206231,-6.3074649,599,599,0,1.120034,1.120034,0,1.120034,,,,-15.013476,3.823255,,,,,
20501K,Harcourt Terrace Educate Together National School,31,N,53.3236468,-6.2776649,1021,1021,0,8.708103,8.708103,0,8.708103,,-20.160914,11.738531,4.484,10.109875,,,,,
20502M,Scoil Sinead NS,30,N,53.3840963,-6.3180084,517,517,0,5.233339,5.233339,0,5.233339,,,-11.294688,-2.941779,23.705516,,,,,
20507W,St Laurence O'Toole's National School,163,Y,53.3511132,-6.2424733,3853,3652,201,30.125086,27.226801,2.898284,24.328517,,6.770636,21.375239,23.59314,44.470506,,,82.447175,,34.181186
20520O,Dublin 6 Clonskeagh and Dublin 6W Primary School,12,N,53.3236468,-6.2776649,1021,1021,0,8.708103,8.708103,0,8.708103,,-20.160914,11.738531,4.484,10.109875,,,,,
20545H,St Christopher's NS,626,Y,53.3350796,-6.2402099,4789,4558,231,20.65466,20.451543,0.203116,20.248427,,6.999062,25.312576,20.510242,27.024664,,,61.45655,-2.881512,-3.695722
