school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
16651H,ST CLARES CONVENT N S,282,N,53.3265516,-6.2756944,1518,1518,0,3.393501,3.393501,0,3.393501,,-4.701007,10.033764,-4.105394,-3.494937,,,,,
16659A,ST COLUMBAS CON G & I,392,N,53.3667595,-6.263518,1851,1850,1,0.010884,-0.021863,0.032748,-0.054611,,4.548314,2.280165,-9.763528,-17.851898,,,,,48.566
16695E,SCOIL NA MBRATHAR BOYS SENIOR SCHOOL,150,Y,53.3505046,-6.2767608,4607,4607,0,24.77682,24.77682,0,24.77682,,,29.156635,13.695461,39.72971,,,,,
16753P,ST VINCENT DE PAULS GIRLS SENIOR SCHOOL,333,N,53.3700654,-6.2304069,1104,1104,0,9.620863,9.620863,0,9.620863,,23.260541,10.670515,6.038692,2.218263,,,,,
16754R,ST VINCENTS CONVENT INF N S,396,N,53.3699992,-6.2304907,1147,1147,0,9.415171,9.415171,0,9.415171,,22.2663,10.373747,6.237587,2.00825,,,,,
16759E,S N MHUIRE NA MBRATHAR,357,N,53.3707391,-6.2324421,1451,1451,0,12.434769,12.434769,0,12.434769,,30.974907,9.889131,19.138518,1.41607,,,,,
16786H,ST BRIGIDS PRIMARY SCHOOL,263,Y,53.338755,-6.2749302,11962,11250,712,16.84815,17.163445,-0.315294,17.478739,34.795135,7.463166,17.462503,20.886487,12.028397,,,-16.438495,-1.94092,-0.427115
16792C,ST BRIGIDS CONVENT N S,422,N,53.3785688,-6.2057196,397,397,0,7.340587,7.340587,0,7.340587,,13.631,2.528009,39.705375,4.974388,,,,,
16860Q,CORPUS CHRISTI N S,439,N,53.3748501,-6.2574691,1661,1661,0,1.553468,1.553468,0,1.553468,,48.911333,-1.356579,-1.450007,11.99126,,,,,
16964F,SCOIL MHUIRE OGH 1,236,Y,53.3292003,-6.2958826,711,711,0,16.756526,16.756526,0,16.756526,,5.785909,34.33965,7.902907,29.182818,,,,,
16966J,SCOIL NAISIUNTA STRATFORD,93,N,53.3096452,-6.2748588,1948,1948,0,7.699991,7.699991,0,7.699991,,-1.188637,3.1311,7.508843,31.752312,,,,,
16983J,S N NAOMH CILLIN,38,Y,53.3250976,-6.3457871,545,537,8,29.093826,28.413263,0.680563,27.7327,,73.12975,24.89145,31.663325,42.97925,,,,32.92225,
16988T,CHRIST THE KING B N S,108,Y,53.3635807,-6.2852461,2651,2651,0,0.998719,0.998719,0,0.998719,,-3.246703,-4.365198,-2.981147,19.268021,,,,,
16989V,CHRIST THE KING GIRLS SENIOR SCHOOL,99,Y,53.3636601,-6.2858575,2669,2669,0,0.834084,0.834084,0,0.834084,,-2.922095,-4.553703,-3.549953,20.524371,,,,,
17083B,S N MUIRE GAN SMAL B,340,Y,53.337632,-6.3250901,682,655,27,43.229998,43.125316,0.104681,43.020635,,43.931404,31.105535,52.277649,,,,,2.214423,
17104G,ST FRANCIS JUNIOR NATIONAL SCHOOL,200,Y,53.4035234,-6.2049377,1502,1377,125,11.423637,11.739373,-0.315735,12.055108,,11.037459,20.565934,10.422803,6.960889,,,-3.20735,,
17110B,NAOMH LORCAN O TUATHAIL SENIOR BOYS,65,Y,53.3531329,-6.2437706,2366,2266,100,27.713971,25.699285,2.014685,23.6846,,6.959642,17.450064,39.53185,43.180004,,,64.962731,,49.693444
17148D,S N EOIN BAISDE GIRLS SENIOR,407,N,53.3636531,-6.1994126,685,685,0,4.010594,4.010594,0,4.010594,,,4.402427,-8.681,4.916823,,,,,
17210F,CLOCHAR LUGHAIDH CAILIN,451,N,53.3245012,-6.2685788,1270,1244,26,-9.91598,-10.978952,1.062972,-12.041924,,-22.084362,16.155779,13.273032,-5.2464,,,51.947,,
17211H,CLOCHAR LUGHAIDH NAOIDH,295,N,53.3246405,-6.2676013,1959,1879,80,-0.262882,-2.755293,2.49241,-5.247703,,-18.497366,18.661022,13.687165,0.412173,,,55.978202,,
17214N,St. Vincent's Primary School,283,N,53.3676579,-6.2750058,643,643,0,17.572419,17.572419,0,17.572419,,21.051039,11.326294,11.961267,27.0631,,,,,
