school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,PM25_overall,PM25_school_days_200m,PM25_midterm_days_200m,PM25_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
19663G,ST RAPHAELS NS,362,Y,53.3431876,-6.3477234,3130,2911,219,6.594451,5.851846,0.742605,5.109241,,7.671325,5.295259,6.031511,8.893358,,,5.500808,12.974708,8.943000
19668Q,ST FRANCIS SENIOR N S,219,Y,53.4038266,-6.205909,1652,1506,146,8.653201,7.605706,1.047495,6.558211,,9.211911,6.746039,12.374873,5.576585,,,11.170890,,
19669S,LADY OF GOOD COUNSEL BOYS SENIOR NS,146,Y,53.3303441,-6.3170366,1983,1983,0,6.910209,6.910209,0.000000,6.910209,,,6.755912,3.115791,11.992873,,,,,
19727G,ST MARYS CENTRAL N S,538,N,53.3210652,-6.2389255,1822,1822,0,6.182108,6.182108,0.000000,6.182108,,11.745259,4.469069,5.583477,9.067821,,,,,
19777V,GAELSCOIL MIDE,239,N,53.3855085,-6.152911,1508,1508,0,11.168288,11.168288,0.000000,11.168288,,,7.082684,11.626600,,,,,,
19831B,SCOIL CHAOIMHIN,60,Y,53.3512957,-6.2576946,9600,8930,670,7.642968,7.283699,0.359268,6.924431,,6.627246,7.227628,11.137815,6.737712,,,4.752000,5.048992,6.673863
19837N,DRIMNAGH CASTLE CBS N S,371,N,53.3243593,-6.3309211,2147,2147,0,7.355278,7.355278,0.000000,7.355278,,,11.739967,6.882633,4.689747,,,,,
19845M,NORTH DUBLIN NS PROJECT,226,N,53.3819302,-6.2682924,1115,1115,0,8.576917,8.576917,0.000000,8.576917,,7.876911,8.668797,9.646341,6.898102,,,,,
19896G,SCOIL CAITRIONA NA MBRAITHRE,162,Y,53.3362025,-6.2458237,15784,14951,833,6.871055,6.743359,0.127696,6.615663,,11.152535,5.977414,6.554965,9.452334,,,3.538146,2.205573,
19907I,GAELSCOIL MOLOGA,228,N,53.3173504,-6.2853573,949,949,0,7.750773,7.750773,0.000000,7.750773,,,4.279449,9.185709,5.568557,,,,,
19913D,ST JOSEPHS NS,347,Y,53.3981164,-6.2032168,722,692,30,8.535848,7.936687,0.599160,7.337527,,9.309434,5.504111,11.072717,6.514184,,,13.800666,,
19919P,ST DAVIDS N S,285,N,53.3858123,-6.217246,4268,4009,259,8.995582,8.518387,0.477194,8.041193,,,7.869180,8.973673,9.686271,,,10.285903,,7.444232
19920A,ST JOHN OF GOD N S,168,Y,53.3896502,-6.2173226,1293,1202,91,8.135120,7.645446,0.489673,7.155773,,,6.514701,7.405545,11.230410,,,,,6.887714
19924I,HAROLDS CROSS N S,381,Y,53.3173638,-6.2857534,909,909,0,7.767714,7.767714,0.000000,7.767714,,,4.261647,9.231432,5.621019,,,,,
19926M,GAELSCOIL CHOLAISTE MHUIRE,195,N,53.3535881,-6.2620967,14067,13548,519,7.962474,7.819425,0.143048,7.676377,,5.257075,8.294739,9.638084,7.367725,,,,3.868649,
19928Q,RANELAGH MULTI DENOM NS,232,N,53.3267982,-6.2576866,1889,1889,0,7.930114,7.930114,0.000000,7.930114,,12.872326,5.712062,8.172663,9.171112,,,,,
