school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
16577V,ST BRIGIDS CONVENT,469,N,53.3768599,-6.2756033,1438,1438,0,15.555923,15.555923,0.000000,15.555923,,-0.665600,12.486562,14.329108,29.739539,,,,,
16651H,ST CLARES CONVENT N S,282,N,53.3265516,-6.2756944,4435,4435,0,19.085639,19.085639,0.000000,19.085639,,4.134993,16.701239,22.918479,33.510897,,,,,
16659A,ST COLUMBAS CON G & I,392,N,53.3667595,-6.263518,3314,3269,45,1.281278,0.784329,0.496948,0.287381,,4.517728,3.460082,-6.785828,-17.772313,,,,,29.958880
16695E,SCOIL NA MBRATHAR BOYS SENIOR SCHOOL,150,Y,53.3505046,-6.2767608,11846,11846,0,30.216504,30.216504,0.000000,30.216504,,44.114077,31.533891,24.903722,45.163687,,,,,
16753P,ST VINCENT DE PAULS GIRLS SENIOR SCHOOL,333,N,53.3700654,-6.2304069,1974,1974,0,10.476142,10.476142,0.000000,10.476142,,25.164890,9.549543,12.778659,2.211016,,,,,
16754R,ST VINCENTS CONVENT INF N S,396,N,53.3699992,-6.2304907,2119,2119,0,9.631270,9.631270,0.000000,9.631270,,24.446040,8.558609,12.449604,1.758496,,,,,
16759E,S N MHUIRE NA MBRATHAR,357,N,53.3707391,-6.2324421,2526,2526,0,15.378950,15.378950,0.000000,15.378950,,30.325670,9.236934,13.545253,27.048758,,,,,
16786H,ST BRIGIDS PRIMARY SCHOOL,263,Y,53.338755,-6.2749302,21054,20059,995,21.712409,21.940142,-0.227732,22.167874,47.598580,17.480333,22.077940,24.102846,20.933968,,,-11.412502,-2.792906,4.544174
16792C,ST BRIGIDS CONVENT N S,422,N,53.3785688,-6.2057196,511,511,0,6.396398,6.396398,0.000000,6.396398,,10.452723,2.170132,37.299000,4.745060,,,,,
16860Q,CORPUS CHRISTI N S,439,N,53.3748501,-6.2574691,2798,2798,0,1.678022,1.678022,0.000000,1.678022,,48.821968,-0.750601,-1.252573,12.959526,,,,,
16964F,SCOIL MHUIRE OGH 1,236,Y,53.3292003,-6.2958826,2688,2688,0,16.894810,16.894810,0.000000,16.894810,,16.026216,24.375763,10.987713,21.480114,,,,,
16966J,SCOIL NAISIUNTA STRATFORD,93,N,53.3096452,-6.2748588,2371,2371,0,7.710220,7.710220,0.000000,7.710220,,-0.666300,2.224441,7.793633,33.180795,,,,,
16983J,S N NAOMH CILLIN,38,Y,53.3250976,-6.3457871,764,753,11,41.998657,41.325954,0.672702,40.653252,,71.506636,44.436466,38.238676,40.595833,,,,33.940909,
16988T,CHRIST THE KING B N S,108,Y,53.3635807,-6.2852461,4734,4734,0,1.383052,1.383052,0.000000,1.383052,,-4.791330,-3.557127,-2.126794,20.502158,,,,,
16989V,CHRIST THE KING GIRLS SENIOR SCHOOL,99,Y,53.3636601,-6.2858575,3918,3918,0,1.344009,1.344009,0.000000,1.344009,,-2.050736,-4.153739,-3.221810,21.048788,,,,,
17083B,S N MUIRE GAN SMAL B,340,Y,53.337632,-6.3250901,1003,944,59,43.142897,43.203664,-0.060767,43.264431,,41.620016,36.266508,53.133192,,,,,-0.849684,
17104G,ST FRANCIS JUNIOR NATIONAL SCHOOL,200,Y,53.4035234,-6.2049377,1853,1692,161,11.752651,12.223669,-0.471018,12.694687,,11.181242,20.424058,11.499498,7.172016,,,-4.603136,,
17110B,NAOMH LORCAN O TUATHAIL SENIOR BOYS,65,Y,53.3531329,-6.2437706,3092,2967,125,27.570115,25.602967,1.967147,23.635820,,10.304742,17.358235,35.924160,42.745574,,,64.726720,,55.589735
17148D,S N EOIN BAISDE GIRLS SENIOR,407,N,53.3636531,-6.1994126,1178,1178,0,3.825702,3.825702,0.000000,3.825702,,,4.684229,-11.457750,5.937982,,,,,
17210F,CLOCHAR LUGHAIDH CAILIN,451,N,53.3245012,-6.2685788,2391,2301,90,-0.539672,-2.827048,2.287375,-5.114423,,-19.099325,12.562190,14.875926,-5.784398,,,55.359940,,
17211H,CLOCHAR LUGHAIDH NAOIDH,295,N,53.3246405,-6.2676013,4721,4452,269,13.267955,9.457724,3.810230,5.647494,,-12.677663,22.066968,16.314133,15.007016,,,57.993507,,
17214N,St. Vincent's Primary School,283,N,53.3676579,-6.2750058,2206,2206,0,15.058178,15.058178,0.000000,15.058178,,18.522229,5.782672,18.889847,23.328453,,,,,
17318C,SCOIL AN LEINBH IOSA BOYS SENIORS,281,N,53.3848353,-6.2461083,4811,4762,49,36.553410,36.481679,0.071730,36.409949,,86.232246,26.290799,43.154179,43.234478,,,,-6.151428,8.267525
17355I,MUIRE NA DEA COIRLE GIRLS SENIOR,126,Y,53.3301193,-6.3184595,1859,1859,0,-2.034517,-2.034517,0.000000,-2.034517,,,-10.101207,-3.190321,2.481215,,,,,
17356K,MUIRE NA DEA COIRLE INF,176,Y,53.3306296,-6.3168518,2009,2009,0,-2.104373,-2.104373,0.000000,-2.104373,,,-8.147726,-2.825254,1.419580,,,,,
17367P,"MARY, HELP OF CHRISTIANS G.N.S.",435,N,53.3678069,-6.3144792,1162,1162,0,35.128571,35.128571,0.000000,35.128571,,,32.829309,37.453778,26.315775,,,,,
17459U,CHRIST THE KING I G,55,Y,53.3636601,-6.2858575,3918,3918,0,1.344009,1.344009,0.000000,1.344009,,-2.050736,-4.153739,-3.221810,21.048788,,,,,
17464N,"FIONNBARRA NAOFA B.N.S.,",139,Y,53.3691115,-6.297561,5747,5747,0,7.678921,7.678921,0.000000,7.678921,,,11.256974,0.593120,21.820789,,,,,
17465P,DOMINICAN CONVENT GIRLS SENIOR SCHOOL,197,Y,53.3699148,-6.3070661,1481,1481,0,26.955024,26.955024,0.000000,26.955024,,,20.046279,23.208759,36.130436,,,,,
17466R,ST CATHERINES INFANT SCHOOL,136,Y,53.3703308,-6.3071721,1543,1543,0,26.626328,26.626328,0.000000,26.626328,,,21.936828,24.286346,32.546878,,,,,
17603B,SCOIL IOSAGAIN BOYS SENIOR,68,Y,53.3300258,-6.287325,2975,2975,0,10.015601,10.015601,0.000000,10.015601,,0.402166,16.055248,5.426702,6.826478,,,,,
17683C,MUIRE OG 2 LORETO CON,218,Y,53.3303736,-6.2964208,4824,4824,0,15.809588,15.809588,0.000000,15.809588,,19.146115,20.313107,11.681257,19.203348,,,,,
