school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
19946S,RUTLAND NATIONAL SCHOOL,162,Y,53.3533709,-6.2551024,14945,14146,799,30.400757,25.846872,4.553884,21.292988,,24.073076,34.752372,10.247433,31.907674,,,68.841293,75.243854,14.176431
19954R,NORTH BAY EDUCATE TOGETHER NS,212,N,53.3853245,-6.1525751,1647,1647,0,-9.435720,-9.435720,0.000000,-9.435720,,,4.872651,-11.302553,,,,,,
19981U,ST MARYS N S,222,Y,53.3641737,-6.2382837,7778,7712,66,20.134157,20.134157,0.000000,20.134157,,25.511837,18.068235,29.468947,5.513985,,,,,
20012S,GRIFFITH BARRACKS MULTI D SCHOOL,309,N,53.3308077,-6.2795513,8821,8587,234,15.707364,16.154623,-0.447258,16.601881,,47.294632,18.799390,17.941806,0.506170,,,-14.531924,,
20015B,GAELSCOIL BHAILE MUNNA,176,Y,53.3982982,-6.256058,1110,1110,0,3.623539,3.623539,0.000000,3.623539,,,3.314491,4.123650,,,,,,
20029M,ST BRIGIDS INFANT N S,232,Y,53.3861926,-6.308412,282,282,0,6.361849,6.361849,0.000000,6.361849,,,0.284763,9.571957,8.937838,,,,,
20035H,ST GABRIELS N S,128,Y,53.3538543,-6.2906696,4874,4874,0,6.801205,6.801205,0.000000,6.801205,,,5.606264,0.483393,44.146822,,,,,
20047O,GAELSCOIL BHARRA,210,Y,53.3648814,-6.2891756,2951,2951,0,6.702197,6.702197,0.000000,6.702197,,3.910351,-0.843342,2.521299,29.172337,,,,,
20048Q,GAELSCOIL LIOS NA NOG,228,N,53.3221546,-6.2567926,1867,1857,10,-3.370796,-3.654880,0.284084,-3.938964,,,-18.473868,3.310337,5.068860,,,55.428000,,
20052H,GAELSCOIL CHOLMCILLE,274,N,53.3960102,-6.2305956,3461,3364,97,33.231865,32.529291,0.702574,31.826717,,24.027862,26.353825,39.777137,33.937395,,,12.605983,,33.839515
20059V,MOTHER OF DIVINE GRACE,491,Y,53.3863281,-6.2874542,1662,1662,0,3.484569,3.484569,0.000000,3.484569,,,8.218707,-0.760858,2.013186,,,,,
20064O,OUR LADY OF CONSOLATION NS,287,Y,53.3743785,-6.21686,3911,3783,128,27.968252,27.018144,0.950108,26.068036,,-10.426493,30.306228,18.499978,38.883211,,,30.429061,,35.081125
20091R,ST PETERS NS,469,Y,53.3617557,-6.2765543,7900,7900,0,25.496036,25.496036,0.000000,25.496036,,12.808696,20.471317,13.320902,53.714361,,,,,
20092T,ST ULTANS NS,402,Y,53.3367966,-6.3738702,1780,1619,161,1.729428,2.409439,-0.680010,3.089449,,,2.090793,-0.287146,12.817305,,,,-5.951202,
20103V,JOHN SCOTTUS NS,190,N,53.3344211,-6.2373189,3241,3125,116,26.612638,25.120057,1.492580,23.627477,,21.122458,25.622042,21.982629,40.303505,,25.409750,84.307361,,-13.230342
20104A,ST AUDOENS NS,185,Y,53.3443321,-6.2743708,66532,64942,1590,24.919601,24.250669,0.668932,23.581737,40.287611,0.748446,25.712308,35.186709,66.210387,,,7.183716,16.431890,12.103978
20131D,EDUCATE TOGETHER NS,470,N,53.3520302,-6.2782793,1885,1885,0,24.510720,24.510720,0.000000,24.510720,,,26.480419,14.472572,35.957795,,,,,
20139T,INCHICORE NS,208,Y,53.3413932,-6.3200962,6305,5754,551,23.095019,23.006060,0.088959,22.917101,33.476933,43.656280,25.996383,22.450176,15.018050,,,-0.989736,4.336297,-0.916444
20152L,NORTH DUBLIN MUSLIM NS PROJECT,316,N,53.3634993,-6.2996924,7171,7171,0,21.872897,21.872897,0.000000,21.872897,,52.284021,29.845980,12.585697,28.192251,,,,,
20168D,GLASNEVIN EDUCATE TOGETHER NS,341,N,53.3787553,-6.269234,4158,4158,0,14.723356,14.723356,0.000000,14.723356,,16.870111,10.932839,5.746662,30.629020,,,,,
20220C,GAELSCOIL UI EARCAIN,344,Y,53.3874063,-6.2899421,1530,1530,0,3.866727,3.866727,0.000000,3.866727,,,10.778399,-2.268970,3.690013,,,,,
20281W,St Benedicts and St Marys National School,141,Y,53.3884024,-6.1642907,1060,1060,0,-6.075040,-6.075040,0.000000,-6.075040,,,,-5.728211,-12.446130,,,,,
20304I,St. Francis of Assisi National School,455,N,53.4049148,-6.1699143,597,548,49,3.004535,2.982009,0.022526,2.959483,,,7.408103,-2.702373,-6.575352,,,0.262170,,
20308Q,Belmayne Educate Together National School,437,Y,53.408322,-6.1665024,683,614,69,14.593858,13.994115,0.599742,13.394373,,,11.368826,25.904015,-13.844700,,,5.489953,,
20338C,Holy Child National School,406,N,53.3859343,-6.2451174,5385,5331,54,36.574154,36.560128,0.014025,36.546103,,88.288461,30.339282,36.898341,47.203330,,,,-5.692941,4.628147
20392I,Pelletstown ETNS,260,N,53.3772931,-6.3313729,3013,3013,0,6.454548,6.454548,0.000000,6.454548,,3.085836,54.081303,-4.256446,14.494778,,,,,
20429F,ST. JAMES'S PRIMARY SCHOOL,251,Y,53.3403895,-6.2901689,4139,3915,224,9.975809,10.917733,-0.941923,11.859656,,,17.219488,0.386019,12.931113,,,-15.888873,,
20430N,Canal Way Educate Together National School,317,N,53.3403638,-6.2894442,5328,5044,284,10.588551,11.570104,-0.981553,12.551657,,,17.953279,0.882232,13.018395,,,-16.838527,,
20436C,St Mary's Primary School,243,Y,53.3548071,-6.2672886,19872,19853,19,20.703456,20.617787,0.085668,20.532119,,65.711485,17.620647,16.276198,32.969452,,,,72.702470,
20441S,Shellybanks Educate Together National School,277,N,53.3328982,-6.213878,4355,4343,12,11.006404,11.006404,0.000000,11.006404,,3.607802,13.689323,7.007575,,,,,,
20450T,Assumption Junior School,401,N,53.3228994,-6.3321158,2890,2890,0,14.723308,14.723308,0.000000,14.723308,,66.930800,16.456507,15.887948,8.371112,,,,,
20453C,Broombridge Educate Together National School,119,N,53.3708109,-6.2939088,3435,3435,0,9.343714,9.343714,0.000000,9.343714,,,15.137648,1.041908,21.933528,,,,,
20486R,Grace Park Educate Together National School,182,N,53.3723734,-6.2475481,588,588,0,29.930941,29.930941,0.000000,29.930941,,31.303000,30.274422,27.222197,30.730172,,,,,
20488V,Scoil Úna Naofa,412,Y,53.3206231,-6.3074649,1896,1896,0,1.225827,1.225827,0.000000,1.225827,,,8.897125,-13.360617,4.421365,,,,,
20501K,Harcourt Terrace Educate Together National School,31,N,53.3236468,-6.2776649,2802,2802,0,13.478629,13.478629,0.000000,13.478629,,-2.267370,13.809457,14.113641,18.755058,,,,,
20502M,Scoil Sinead NS,30,N,53.3840963,-6.3180084,792,792,0,5.352287,5.352287,0.000000,5.352287,,,-10.495494,-1.904964,20.110323,,,,,
20507W,St Laurence O'Toole's National School,163,Y,53.3511132,-6.2424733,6575,6250,325,28.380525,25.264098,3.116427,22.147671,,4.896810,21.235888,24.529072,42.312227,,,75.528595,,36.397202
20517C,Drumcondra Marino Dublin 1 gaelscoil,16,N,53.3730795,-6.2636596,1123,1123,0,7.007135,7.007135,0.000000,7.007135,,6.738708,5.436422,-3.558539,46.999041,,,,,
20520O,Dublin 6 Clonskeagh and Dublin 6W Primary School,12,N,53.3236468,-6.2776649,2802,2802,0,13.478629,13.478629,0.000000,13.478629,,-2.267370,13.809457,14.113641,18.755058,,,,,
20545H,St Christopher's NS,626,Y,53.3350796,-6.2402099,11388,10924,464,25.158602,24.594276,0.564325,24.029951,,10.777467,27.377965,26.268635,31.995029,,30.918222,75.739388,0.101025,4.548815
